platform,profile,motor,report,completed,cases,pass_0_2,pass_0_2_4,failures,loaded_dry_mass_g,loaded_launch_mass_g,apogee_m,peak_powered_speed_m_s,guide_departure_m_s,minimum_ascent_stability_cal,deployment_speed_m_s,landing_descent_m_s,landing_displacement_m,peak_powered_specific_force_estimate_g
24-cd,upper-avionics,D12-3,bt60-24-cd-upper-avionics/report.md,9,9,0,0,"{""deployment_speed_m_s"": 9, ""minimum_ascent_stability_cal"": 2}",170.6987754861409,213.2987754861409,"[173.54297078013423, 175.02129553277405]","[60.43698108304153, 60.58391457789011]","[12.890575660589711, 12.895874946192363]","[1.4152824391766345, 1.8362246078141504]","[18.744959765626767, 18.758213043792935]","[5.4052725942455195, 5.405334239489549]","[0.04992888252440438, 47.37292637409721]","[14.465249871862818, 14.472608714910098]"
24-cd,upper-avionics,D12-5,bt60-24-cd-upper-avionics/report.md,9,9,5,7,"{""minimum_ascent_stability_cal"": 2}",170.6987754861409,213.2987754861409,"[186.72266848891888, 188.5845943817674]","[60.43698108304153, 60.58391457789011]","[12.890575660589711, 12.895874946192363]","[1.3045559013472603, 1.641192301924771]","[1.3937214110741811, 3.2302309960508886]","[5.405272572434379, 5.405334186564027]","[0.08940767800431623, 44.25970389525835]","[14.465249871862818, 14.472608714910098]"
24-cd,upper-avionics,D12-7,bt60-24-cd-upper-avionics/report.md,9,9,0,0,"{""minimum_ascent_stability_cal"": 3, ""deployment_speed_m_s"": 9}",170.6987754861409,213.2987754861409,"[186.72266848891888, 188.5845943817674]","[60.43698108304153, 60.58391457789011]","[12.890575660589711, 12.895874946192363]","[1.3045559013472603, 1.641192301924771]","[15.779284530621307, 19.475300822693665]","[5.405272594414073, 5.405334154267757]","[0.23308374213574698, 31.573209316113626]","[14.465249871862818, 14.472608714910098]"
24-e,upper-avionics,E12-4,bt60-24-e-upper-avionics/report.md,9,9,0,0,"{""minimum_ascent_stability_cal"": 5, ""deployment_speed_m_s"": 9}",169.6987754861409,229.5987754861409,"[315.21568195975146, 317.65814387251584]","[84.88972827640222, 85.02801155144003]","[13.238253931308968, 13.243237597046098]","[1.2233134816486697, 1.6356400770514061]","[19.38504981458053, 19.430814924569574]","[5.426327172645347, 5.426388974367272]","[0.12958006189137514, 84.20236170932607]","[14.977344377356392, 14.984203464083278]"
24-e,upper-avionics,E12-6,bt60-24-e-upper-avionics/report.md,9,9,4,4,"{""minimum_ascent_stability_cal"": 5}",169.6987754861409,229.5987754861409,"[329.2972937153433, 332.2104784492924]","[84.88972827640222, 85.02801155144003]","[13.238253931308968, 13.243237597046098]","[1.2233134816486697, 1.4336427174018271]","[0.8092681278605992, 3.62013672764673]","[5.426327115779323, 5.426389046580456]","[0.19713971068322367, 80.13628896714752]","[14.977344377356392, 14.984203464083278]"
24-e,upper-avionics,E12-8,bt60-24-e-upper-avionics/report.md,9,9,0,0,"{""minimum_ascent_stability_cal"": 5, ""deployment_speed_m_s"": 9}",169.6987754861409,229.5987754861409,"[329.2972937153433, 332.2104784492924]","[84.88972827640222, 85.02801155144003]","[13.238253931308968, 13.243237597046098]","[1.2233134816486697, 1.4336427174018271]","[15.265515558744992, 19.47526725482674]","[5.426327172306528, 5.426389052783278]","[0.12859619556337604, 66.71918627315847]","[14.977344377356392, 14.984203464083278]"
18-c5,heavy-build,C5-3,bt60-18-c5-heavy-build/report.md,9,9,2,2,"{""minimum_ascent_stability_cal"": 1, ""deployment_speed_m_s"": 7, ""guide_departure_m_s"": 6}",185.3044289977738,209.10442899777382,"[40.875128413577755, 42.96764072380696]","[17.73903107215724, 17.852695299044292]","[11.483366301552094, 11.488878883783299]","[1.7882216841989178, 2.16518374588343]","[11.338875998302202, 13.248686196439152]","[5.487699899349516, 5.487762452339401]","[0.44489036150914407, 8.533592227704483]","[10.073335826985836, 10.079558238434332]"
24-cd,heavy-build,C11-3,bt60-24-cd-heavy-build/report.md,9,9,0,0,"{""launch_mass_g"": 9, ""guide_departure_m_s"": 9, ""minimum_ascent_stability_cal"": 2}",192.8044289977738,228.1044289977738,"[57.1654334126525, 57.74598159770937]","[31.213425739099716, 31.3385317088862]","[11.354806102635473, 11.359820924601134]","[1.0099180162167536, 1.8166230583687417]","[0.35648543647225994, 1.346697701203145]","[5.731628655715736, 5.731694126115667]","[0.015490131522568678, 13.351333596330553]","[9.87252541102533, 9.878924509840152]"
24-cd,heavy-build,C11-5,bt60-24-cd-heavy-build/report.md,9,9,0,0,"{""launch_mass_g"": 9, ""guide_departure_m_s"": 9, ""deployment_speed_m_s"": 9, ""minimum_ascent_stability_cal"": 2}",192.8044289977738,228.1044289977738,"[57.1654334126525, 57.74598159770937]","[31.213425739099716, 31.3385317088862]","[11.354806102635473, 11.359820924601134]","[1.0099180162167536, 1.8166230583687417]","[14.101981505672606, 15.91420199383129]","[5.731628728919135, 5.7316940908444804]","[0.7816296500288238, 4.0367365187672934]","[9.87252541102533, 9.878924509840152]"
24-cd,heavy-build,D12-3,bt60-24-cd-heavy-build/report.md,9,9,0,0,"{""deployment_speed_m_s"": 9, ""minimum_ascent_stability_cal"": 2}",192.8044289977738,235.4044289977738,"[154.90512157120017, 156.52510105385647]","[54.166309971064386, 54.31806264515076]","[12.593738041496481, 12.59858531106922]","[1.375438602775654, 1.804175363738296]","[15.929230925585077, 15.989097625102817]","[5.707704674481683, 5.707769771156363]","[0.04750352986223335, 36.92426439008862]","[13.0899599643145, 13.096466961567156]"
24-cd,heavy-build,D12-5,bt60-24-cd-heavy-build/report.md,9,9,4,6,"{""minimum_ascent_stability_cal"": 3}",192.8044289977738,235.4044289977738,"[163.78897873228257, 165.70046057895482]","[54.166309971064386, 54.31806264515076]","[12.593738041496481, 12.59858531106922]","[1.2388960194337872, 1.3476722523013474]","[3.9735958075456543, 4.970039672263413]","[5.707704644735258, 5.707769814366773]","[0.06823010698896491, 31.6839930964901]","[13.0899599643145, 13.096466961567156]"
24-cd,heavy-build,D12-7,bt60-24-cd-heavy-build/report.md,9,9,0,0,"{""minimum_ascent_stability_cal"": 3, ""deployment_speed_m_s"": 9, ""launch_mass_g"": 6}",192.8044289977738,235.4044289977738,"[163.78897873228257, 165.70046057895482]","[54.166309971064386, 54.31806264515076]","[12.593738041496481, 12.59858531106922]","[1.2388960194337872, 1.3476722523013474]","[17.17493447158099, 21.882448178296116]","[5.707704622488499, 5.707769800142087]","[0.01833926659014384, 17.39261701987491]","[13.0899599643145, 13.096466961567156]"
