case,execution,evaluation,apogee_m,guide_departure_m_s,minimum_ascent_stability_cal,deployment_speed_m_s,landing_descent_m_s,landing_displacement_m,peak_powered_acceleration_g,peak_powered_specific_force_estimate_g,peak_powered_speed_m_s
empty-A8-3-wind0,completed,outside configured limits,11.15477994720002,8.128798352271614,1.7489181307338393,,11.19994514303345,0.815433949698167,6.670559717750727,7.669552863184476,11.343015154113811
empty-A8-3-wind2,completed,outside configured limits,11.004022328582218,8.119341931649707,0.8440561196636488,,11.290608346433524,0.5101604708829451,6.664506633538873,7.663499778982879,11.288732687608638
empty-B4-4-wind0,completed,outside configured limits,36.81380203287855,9.936661114941419,1.7016949225058318,11.542676007364925,4.3942186392113465,1.0544109972942854,8.84026625524788,9.839259445913907,22.273652138877623
empty-B4-4-wind2,completed,outside configured limits,35.88002064279413,9.927056367075027,1.002490871214925,16.10303628231713,4.3941685544086475,2.0426511654182544,8.836286058997539,9.83527924966523,22.064958628569833
empty-C6-3-wind0,completed,outside configured limits,115.02460108670859,10.597563381925537,1.6001575501485887,5.748707900161542,4.383827426285208,0.044459028081048964,9.56161664173226,10.560609769568906,43.172604882972045
empty-C6-3-wind2,completed,outside configured limits,111.43995755671784,10.588660518381571,1.1968599429092028,7.280534635688699,4.383777395437343,24.269108562860843,9.553444941677334,10.552438069530508,42.97926259254373
empty-C6-5-wind0,completed,outside configured limits,115.80320401367858,10.597563381925537,1.3614702434628667,10.94947326612487,4.3838273790870215,0.8372748345882707,9.56161664173226,10.560609769568906,43.172604882972045
empty-C6-5-wind2,completed,outside configured limits,112.1574330228568,10.588660518381571,1.1968599429092028,14.634684032553292,4.38377737680565,9.855621633452971,9.553444941677334,10.552438069530508,42.97926259254373
empty-C5-3-wind0,completed,incomplete inputs,96.89074198983502,13.994759733020238,1.5283865074699365,0.08446976997080614,4.392488495246806,0.04153843813854279,14.352083133425765,15.351076077008413,33.8632886940307
empty-C5-3-wind2,completed,incomplete inputs,95.36843662588953,13.986186625072158,1.1202017697373328,2.675740140739048,4.3924383792321295,28.705353537432362,14.341094637043689,15.339972785761512,33.68646565439144
dummy-A8-3-wind0,completed,outside configured limits,8.238153042770202,7.081512594776989,2.234991767613557,,10.898256650040127,0.4333031327103705,5.735589329971952,6.734582491006309,9.263151643619121
dummy-A8-3-wind2,completed,outside configured limits,8.149066638349488,7.073369052220057,1.3734924477280674,,10.680575853084083,0.16528437733390103,5.731602987060642,6.730596148099796,9.224080810596051
dummy-B4-4-wind0,completed,outside configured limits,28.345940563122944,8.827046004888608,2.1881724368273967,16.62636527833472,4.695445989774475,1.2996707714696447,7.661677325824714,8.660670523457757,18.64469136371166
dummy-B4-4-wind2,completed,outside configured limits,27.391813110185264,8.818537101352929,1.63629012711656,19.932890835053943,4.632396251465298,9.739255124740934,7.659129328164021,8.658122525796385,18.414167028067233
dummy-C6-3-wind0,completed,outside configured limits,96.13239233297693,9.574908858199958,2.1192028222493633,2.740922215207209,4.685555068256516,0.041770361243158624,8.33010425613109,9.32909740044389,37.22225564926047
dummy-C6-3-wind2,completed,outside configured limits,91.8892425743272,9.566791052078152,1.6827940120097837,6.504024078089288,4.685501584313798,9.585593948674534,8.324220916885476,9.323214061207858,37.05278126797126
dummy-C6-5-wind0,completed,outside configured limits,96.20554800709105,9.574908858199958,1.453940962424395,13.415964982304558,4.685555037064989,0.40237592241797027,8.33010425613109,9.32909740044389,37.22225564926047
dummy-C6-5-wind2,completed,outside configured limits,91.9442383271933,9.566791052078152,1.6827940120097837,17.871886979204735,4.685501635276557,8.749865303081858,8.324220916885476,9.323214061207858,37.05278126797126
dummy-C5-3-wind0,completed,incomplete inputs,79.02048218406564,13.357715113326128,2.0824680187711513,3.1647092537035943,4.6936595917818416,0.024530177394162026,12.560696888654764,13.559689873858778,28.82321522669816
dummy-C5-3-wind2,completed,incomplete inputs,77.24842314956113,13.35015696364813,1.7937375699078955,4.695514359647668,4.693606108669492,15.732231723941673,12.550033079115725,13.549026064396784,28.644901354284297
actual-A8-3-wind0,completed,outside configured limits,8.238153042770202,7.081512594776989,2.2349917676135544,,10.898256650040127,0.4333031327103707,5.735589329971952,6.734582491006309,9.263151643619121
actual-A8-3-wind2,completed,outside configured limits,8.149066638349488,7.073369052220057,1.3734924477280674,,10.680575853084083,0.16528437733390067,5.731602987060642,6.730596148099796,9.224080810596051
actual-B4-4-wind0,completed,outside configured limits,28.345940563122944,8.827046004888608,2.1881724368273994,16.626365278334706,4.695445989774475,1.2996707714696467,7.661677325824714,8.660670523457757,18.64469136371166
actual-B4-4-wind2,completed,outside configured limits,27.391813110185268,8.818537101352929,1.636290127116564,19.932890835053946,4.632396251465293,9.739255124740923,7.659129328164021,8.658122525796385,18.414167028067233
actual-C6-3-wind0,completed,outside configured limits,96.13239233297693,9.574908858199958,2.119202822249362,2.740922215207209,4.685555068256516,0.041770361243158576,8.33010425613109,9.32909740044389,37.22225564926047
actual-C6-3-wind2,completed,outside configured limits,91.88924257432613,9.566791052078152,1.6827940120097837,6.504024078090032,4.685501584313798,9.585593948672972,8.324220916885476,9.323214061207858,37.052781267971234
actual-C6-5-wind0,completed,outside configured limits,96.20554800709105,9.574908858199958,1.453940962424395,13.415964982304558,4.685555037064989,0.4023759224179697,8.33010425613109,9.32909740044389,37.22225564926047
actual-C6-5-wind2,completed,outside configured limits,91.94423832719212,9.566791052078152,1.6827940120097837,17.871886979205424,4.685501635276557,8.749865303086123,8.324220916885476,9.323214061207858,37.052781267971234
actual-C5-3-wind0,completed,incomplete inputs,79.02048218406564,13.357715113326128,2.0824680187711513,3.1647092537035943,4.6936595917818416,0.02453017739416202,12.560696888654764,13.559689873858778,28.82321522669816
actual-C5-3-wind2,completed,incomplete inputs,77.24842314956133,13.35015696364813,1.7937375699079248,4.695514359647699,4.693606108669492,15.732231723941503,12.550033079115725,13.549026064396784,28.644901354284364
