body_mm,nose_mm,nose_shape,span_mm,fin_root_mm,motor,wind_m_s,launch_mass_g,loaded_cg_mm,apogee_m,guide_m_s,stability_cal,deployment_m_s,descent_m_s,drift_m,status
500.0,40.0,conical,45.0,65.0,D12-5,4.0,215.6635441493899,307.7255247254604,177.20414824247638,12.96442847071851,1.349114668839539,6.022668785285657,4.849822618814466,103.15089607633404,completed
500.0,40.0,conical,50.0,65.0,D12-5,4.0,216.85648520476093,308.88506524580265,174.0915837406272,12.879591680749213,1.5905482556259007,6.503136817297919,4.86466971916613,98.2810305340526,completed
500.0,40.0,conical,53.65384615384615,65.0,D12-5,4.0,217.7282498221474,309.72438634194265,171.84746494325776,12.818180550988496,1.745428933461212,6.844729577854676,4.875490859076784,94.878665007296,completed
500.0,40.0,conical,55.0,65.0,D12-5,4.0,218.04942626013187,310.03191815200364,171.03188653963537,12.795679259862652,1.7983424739057237,6.968842084638511,4.879471639784637,93.66694657315375,completed
500.0,40.0,conical,65.0,65.0,D12-5,4.0,220.4353083708739,312.288385068521,165.29683629889578,12.870693497501108,2.1449323845424595,7.749715870258762,4.908941568732232,86.01068913468512,completed
500.0,50.0,conical,45.0,65.0,D12-5,4.0,216.29322487468238,316.852889274983,180.37876640643233,12.921668907770004,1.3289539696706565,5.894527036678371,4.857665152382952,104.8066982680418,completed
500.0,50.0,conical,50.0,65.0,D12-5,4.0,217.4861659300534,318.0138591383739,177.11726201514358,12.837296524786701,1.5723829592364202,6.345958724719314,4.872488360140356,99.80376620333257,completed
500.0,50.0,conical,53.65384615384615,65.0,D12-5,4.0,218.3579305474399,318.85423804973385,174.77383828796468,12.77622011360791,1.7286565468148065,6.66913000939484,4.883292207557749,96.33063839530006,completed
500.0,50.0,conical,55.0,65.0,D12-5,4.0,218.6791069854244,319.16216232653267,173.9088415759526,12.753841156137572,1.7820673721452802,6.792996289134281,4.887266559849374,95.0431943713614,completed
500.0,50.0,conical,65.0,65.0,D12-5,4.0,221.06498909616636,321.4215889208479,167.92750824540738,12.829115722078642,2.1322980503573987,7.533872648914672,4.916689800090641,87.23560637292691,completed
500.0,60.0,conical,45.0,65.0,D12-5,4.0,216.92290559997502,325.9708024514978,182.12525894829176,12.87845189367562,1.3086516852731287,5.8632728260364395,4.865494985992633,105.59503516244533,completed
500.0,60.0,conical,50.0,65.0,D12-5,4.0,218.11584665534602,327.13324509756546,178.77369496153432,12.794553193129095,1.5540776671469272,6.293463695896814,4.880294446458477,100.50236038736135,completed
500.0,60.0,conical,53.65384615384615,65.0,D12-5,4.0,218.98761127273252,327.97471319273154,176.36237958870083,12.733818142072804,1.7117467075273678,6.606853822561453,4.8910810572582735,96.95586534064039,completed
500.0,60.0,conical,55.0,65.0,D12-5,4.0,219.30878771071698,328.28304141448734,175.49255221849353,12.711563936565586,1.7656559896999027,6.717879521856233,4.895049089274118,95.72039026351459,completed
500.0,60.0,conical,65.0,65.0,D12-5,4.0,221.694669821459,330.5455116610522,169.34908464730154,12.787088907906162,2.119540086043115,7.436772442137571,4.92442586464699,87.75784492506158,completed
500.0,70.0,conical,45.0,65.0,D12-5,4.0,217.55258632526753,335.07934632271383,183.01235476606155,12.835091612866712,1.2882206198705624,5.863699487563559,4.873312335053944,105.86034422670745,completed
500.0,70.0,conical,50.0,65.0,D12-5,4.0,218.74552738063855,336.2433043683904,179.60782186358406,12.751669887593533,1.5356455082438558,6.281131219088292,4.8880880516230505,100.71352697899272,completed
500.0,70.0,conical,53.65384615384615,65.0,D12-5,4.0,219.61729199802505,337.08589242363126,177.16545342751814,12.691285767540933,1.6946407047884957,6.583626811636911,4.898857501251427,97.14830375345736,completed
500.0,70.0,conical,55.0,65.0,D12-5,4.0,219.93846843600954,337.39463585219886,176.3131414062495,12.91003705637694,1.7628538667667357,6.666809069303124,4.902819328370958,96.10582900819216,completed
500.0,70.0,conical,65.0,65.0,D12-5,4.0,222.3243505467515,339.66023214874735,170.03830594467985,12.74491795269409,2.1066713761300258,7.400385518245544,4.93214985505715,87.82276840380977,completed
500.0,40.0,ellipsoid,45.0,65.0,D12-5,4.0,219.37762844982734,302.75175835479865,185.4244641586608,12.7109096203462,1.3509272901190745,6.1198589407763,4.895899167642847,105.32432405195499,completed
500.0,40.0,ellipsoid,50.0,65.0,D12-5,4.0,220.57056950519834,303.9186741966298,181.89761488226466,12.869139502690754,1.6109360194629287,6.450445904329678,4.91060695930615,100.31818536889274,completed
500.0,40.0,ellipsoid,53.65384615384615,65.0,D12-5,4.0,221.44233412258484,304.7634694704666,179.36517511468352,12.808715494312379,1.7699280451434178,6.7076174193154525,4.921327255312534,96.77966570714278,completed
500.0,40.0,ellipsoid,55.0,65.0,D12-5,4.0,221.7635105605693,305.0730355671473,178.436507442342,12.78657396467256,1.8242883034109834,6.806096387487428,4.925270935018536,95.48753503888724,completed
500.0,40.0,ellipsoid,65.0,65.0,D12-5,4.0,224.14939267131132,307.3448966850866,171.89151059456836,12.62409730409927,2.167172590808852,7.469363495424032,4.954468536178421,87.03811300482681,completed
500.0,50.0,ellipsoid,45.0,65.0,D12-5,4.0,220.63667689918347,310.97839770005385,183.98774822856163,12.865221886303416,1.3359210230826746,6.118178557868569,4.911420751250645,103.96801153538816,completed
500.0,50.0,ellipsoid,50.0,65.0,D12-5,4.0,221.8296179545545,312.14822708947986,180.47126824911462,12.78272154438194,1.5867689708784107,6.489980752022939,4.9260822176725085,98.78771702259917,completed
500.0,50.0,ellipsoid,53.65384615384615,65.0,D12-5,4.0,222.701382571941,312.99517670542207,177.95238764937406,12.72298943937835,1.7481047902031488,6.761369504768296,4.936768914089265,95.218694493662,completed
500.0,50.0,ellipsoid,55.0,65.0,D12-5,4.0,223.0225590099255,313.30554171347006,177.0455206066612,12.701100767044473,1.8033027899940843,6.858304407379385,4.94070027309594,93.97887017180561,completed
500.0,50.0,ellipsoid,65.0,65.0,D12-5,4.0,225.40844112066748,315.5834214558314,170.60070573249595,12.77722071294164,2.165891702163894,7.518732216252019,4.969807352403818,85.77753325941528,completed
500.0,60.0,ellipsoid,45.0,65.0,D12-5,4.0,221.8957232488103,319.1826083310759,182.41197518081447,12.778836178594158,1.3083975270899662,6.141352655307724,4.926893435925448,102.37598294301418,completed
500.0,60.0,ellipsoid,50.0,65.0,D12-5,4.0,223.08866430418132,320.35543832765813,178.9278312139366,12.697279632028602,1.5625720191518189,6.539012206638311,4.941509016586159,97.16455570615753,completed
500.0,60.0,ellipsoid,53.65384615384615,65.0,D12-5,4.0,223.96042892156783,321.20460503609803,176.4554645420088,12.638227716141564,1.7262397481853355,6.812239704221038,4.952162345801248,93.67943241882766,completed
500.0,60.0,ellipsoid,55.0,65.0,D12-5,4.0,224.28160535955226,321.51579189264334,175.5454759279674,12.616587631603625,1.7822720417612214,6.919945612636823,4.956081496192109,92.38954064391534,completed
500.0,60.0,ellipsoid,65.0,65.0,D12-5,4.0,226.66748747029428,323.7998576827758,169.17007486463282,12.693113655830226,2.150942898969089,7.609751272563025,4.985098886049233,84.19197526525826,completed
500.0,70.0,ellipsoid,45.0,65.0,D12-5,4.0,223.15478086455806,327.3647536212933,180.8040214370565,12.693429269558301,1.2808650907534413,6.166018105117259,4.942317753739596,100.80014596871092,completed
500.0,70.0,ellipsoid,50.0,65.0,D12-5,4.0,224.34772191992909,328.5406678166851,177.35991287897355,12.612800473674168,1.5383424275247237,6.588877519874954,4.956887961236212,95.56594015742283,completed
500.0,70.0,ellipsoid,53.65384615384615,65.0,D12-5,4.0,225.2194865373156,329.39211187206644,174.95563588874003,12.791450784495051,1.7186104489577585,6.844054206434681,4.967508326476008,92.32932661394636,completed
500.0,70.0,ellipsoid,55.0,65.0,D12-5,4.0,225.54066297530005,329.704142602679,174.06779037972612,12.76968578231434,1.7755648132256907,6.95048397760382,4.971415382733353,91.08317767712354,completed
500.0,70.0,ellipsoid,65.0,65.0,D12-5,4.0,227.92654508604207,331.9945552235565,167.72559082998478,12.609938844428829,2.135932885714095,7.6999419303289525,5.000343816076823,82.64784899246412,completed
500.0,40.0,ogive,45.0,65.0,D12-5,4.0,218.3213667099249,304.1858221934024,186.89873476376712,12.783653388060458,1.350651925619176,6.07023884194977,4.882839512462672,107.00452745565855,completed
500.0,40.0,ogive,50.0,65.0,D12-5,4.0,219.5143077652959,305.35055965753895,183.29391879974574,12.700784891195157,1.5958614372102202,6.411396667648913,4.897586513978726,101.75610475855605,completed
500.0,40.0,ogive,53.65384615384615,65.0,D12-5,4.0,220.3860723826824,306.19373984675934,180.7523569480064,12.881270250911422,1.7669105252644786,6.6365716789853,4.908335236129921,98.37014364385053,completed
500.0,40.0,ogive,55.0,65.0,D12-5,4.0,220.70724882066688,306.50270611574246,179.8144225726137,12.858913972006983,1.8208784510488203,6.73030224757378,4.912289342000145,97.07866769179532,completed
500.0,40.0,ogive,65.0,65.0,D12-5,4.0,223.0931309314089,308.7700339457015,173.18393711421177,12.694871145958007,2.1610481942619244,7.374165604294902,4.941563633601012,88.56817420662367,completed
500.0,50.0,ogive,45.0,65.0,D12-5,4.0,219.2691948304798,312.86003830531183,185.68917268010475,12.718253773737588,1.3267232709194028,6.080697859181977,4.8945600624496945,105.77733683486291,completed
