body_mm,nose_mm,nose_shape,span_mm,fin_root_mm,motor,wind_m_s,launch_mass_g,loaded_cg_mm,apogee_m,guide_m_s,stability_cal,deployment_m_s,descent_m_s,drift_m,status
500.0,40.0,ogive,53.65384615384615,55.0,D12-5,4.0,218.41636681964457,303.9539142705179,182.55553655047777,12.7756533743763,1.7669788601750733,6.526756420255294,4.884015503383004,100.83761776994432,completed
500.0,40.0,ogive,53.65384615384615,55.0,E12-6,4.0,234.71636681964458,314.92801561799564,331.2588525840814,13.147842970850537,1.515853276158777,7.73961098843843,4.902546788898278,187.06992050938723,completed
500.0,40.0,ogive,53.65384615384615,60.0,D12-5,4.0,219.40121960116318,305.0641413102709,181.63821199737131,12.707925662007765,1.7658834418556397,6.6056206553076775,4.896190470466499,99.41924222379993,completed
500.0,40.0,ogive,53.65384615384615,60.0,E12-6,4.0,235.7012196011632,315.9156103903654,330.51056220497566,13.083326931585935,1.5179196223093778,7.836002370827476,4.914675805722696,185.17449202233843,completed
500.0,40.0,ogive,53.65384615384615,65.0,D12-5,4.0,220.3860723826824,306.19373984675934,180.75235694800566,12.881270250911422,1.76691052526448,6.636571678985412,4.908335236129921,98.37014364385017,completed
500.0,40.0,ogive,53.65384615384615,65.0,E12-6,4.0,236.6860723826824,316.92226313896305,329.69624384032363,13.019335609420192,1.5086785615972036,7.913775856558038,4.926774979191687,183.40216959180313,completed
