finish_allowance_g,body_mm,nose_mm,nose_shape,span_mm,fin_root_mm,motor,wind_m_s,launch_mass_g,loaded_cg_mm,apogee_m,guide_m_s,stability_cal,deployment_m_s,descent_m_s,drift_m,status
3,500.0,40.0,conical,53.65384615384615,,D12-5,0.0,244.7138997865769,298.1348470032363,153.1842570159339,12.475007459454119,2.417528581309253,5.910064587548466,5.199459791476413,0.03665881998684808,completed
3,500.0,40.0,conical,53.65384615384615,,D12-5,2.0,244.7138997865769,298.1348470032363,151.1840789752682,12.469873084992512,2.240774201749436,6.600786207823787,5.199400422571287,31.601948906961432,completed
3,500.0,40.0,conical,53.65384615384615,,D12-5,4.0,244.7138997865769,298.1348470032363,145.66739216228825,12.468095613673755,2.0097701238949504,9.67144563708532,5.1993411131472,61.03234636466172,completed
3,500.0,40.0,conical,53.65384615384615,,E12-6,0.0,261.0138997865769,308.3666852158026,285.33355986334857,12.549037458641072,2.3532740156450433,4.228662790765021,5.216871961364771,0.1605200880577462,completed
3,500.0,40.0,conical,53.65384615384615,,E12-6,2.0,261.0138997865769,308.3666852158026,281.90561621132593,12.544310999391616,2.1549188148363165,6.0797685951445954,5.216812424677489,62.69863828856155,completed
3,500.0,40.0,conical,53.65384615384615,,E12-6,4.0,261.0138997865769,308.3666852158026,272.4072059433809,12.542608022903016,1.7612354420399037,10.12171054440719,5.216752899049805,122.23795747048267,completed
3,500.0,40.0,ogive,53.65384615384615,,D12-5,0.0,247.90328685921887,294.51745708771375,158.35535461986024,12.286781722067666,2.4495754975232527,4.451466244140758,5.23641322572633,0.06209018169743656,completed
3,500.0,40.0,ogive,53.65384615384615,,D12-5,2.0,247.90328685921887,294.51745708771375,156.25771250900573,12.28279181386149,2.3486541601014097,5.721821847553253,5.236353485002189,31.66682172457603,completed
3,500.0,40.0,ogive,53.65384615384615,,D12-5,4.0,247.90328685921887,294.51745708771375,150.4347594828031,12.281550407399207,2.018682250105486,9.266846085015636,5.236293833711233,61.40814570119326,completed
3,500.0,40.0,ogive,53.65384615384615,,E12-6,0.0,264.20328685921885,304.8489540267536,305.0065615729265,12.595891198945344,1.8711102854463644,0.7583053263823155,5.253703030702154,0.1976828135808494,completed
3,500.0,40.0,ogive,53.65384615384615,,E12-6,2.0,264.20328685921885,304.8489540267536,301.25549181284697,12.592270333738552,2.1842771449001837,5.022496283419922,5.253643061872402,65.62297764130795,completed
3,500.0,40.0,ogive,53.65384615384615,,E12-6,4.0,264.20328685921885,304.8489540267536,290.8444012345374,12.590945440138578,1.7814511502643444,9.805123186806071,5.25358315907254,128.71405046891326,completed
3,500.0,40.0,ellipsoid,53.65384615384615,,D12-5,0.0,249.1708009471018,293.0515267363901,157.02640171395024,12.212084181550328,2.564657345259225,4.636376959763781,5.251027013844848,0.059467944172766164,completed
3,500.0,40.0,ellipsoid,53.65384615384615,,D12-5,2.0,249.1708009471018,293.0515267363901,154.92440927649793,12.208153085400758,2.3541897538109593,5.869087818623586,5.250967120746789,30.918149363911276,completed
3,500.0,40.0,ellipsoid,53.65384615384615,,D12-5,4.0,249.1708009471018,293.0515267363901,149.0939547518422,12.206961896902529,2.021932383421626,9.411768873314474,5.250907203166482,59.89480060893106,completed
3,500.0,40.0,ellipsoid,53.65384615384615,,E12-6,0.0,265.4708009471018,303.4237036551824,302.576554731159,12.524488302206043,2.477492526079001,0.9804034193626254,5.268268837070671,0.1957968168527899,completed
3,500.0,40.0,ellipsoid,53.65384615384615,,E12-6,2.0,265.4708009471018,303.4237036551824,298.81188297477473,12.520757326743249,2.191848914391201,5.092764564546987,5.268208696391606,64.32259107440666,completed
3,500.0,40.0,ellipsoid,53.65384615384615,,E12-6,4.0,265.4708009471018,303.4237036551824,288.36430527911887,12.519479529134065,1.784205312670367,9.90785166208025,5.268148618261181,126.07661815513097,completed
3,500.0,50.0,conical,53.65384615384615,,D12-5,0.0,245.4695166569279,307.24167180181246,155.00408094929034,12.430241375595077,2.3326491946889605,5.431402752485204,5.208238344656828,0.046474847052508476,completed
3,500.0,50.0,conical,53.65384615384615,,D12-5,2.0,245.4695166569279,307.24167180181246,152.98052095172102,12.425465607793328,2.2447289711424294,6.268454271761483,5.208178860800713,31.81611674261556,completed
3,500.0,50.0,conical,53.65384615384615,,D12-5,4.0,245.4695166569279,307.24167180181246,147.4080065511828,12.423853611931348,1.9930297075434793,9.468996266490516,5.2081195504368285,61.62286764957381,completed
3,500.0,50.0,conical,53.65384615384615,,E12-6,0.0,261.76951665692786,317.4995917610324,291.4522704187231,12.506933043437458,2.1575572243478844,3.174826810976502,5.225621239181206,0.17483063559053041,completed
3,500.0,50.0,conical,53.65384615384615,,E12-6,2.0,261.76951665692786,317.4995917610324,287.93578871103534,12.502534995078877,2.1458122756575153,5.553416441137014,5.225561607629826,63.81781932945145,completed
3,500.0,50.0,conical,53.65384615384615,,E12-6,4.0,261.76951665692786,317.4995917610324,278.2061302543541,12.500986973196545,1.7441224843673833,9.861466026791717,5.225502094840456,124.75582935053272,completed
3,500.0,50.0,ogive,53.65384615384615,,D12-5,0.0,249.0406806038848,303.1608612898647,157.15093876906585,12.219664402945451,2.657728884717936,4.622843537297327,5.249528661911913,0.059596679196507546,completed
3,500.0,50.0,ogive,53.65384615384615,,D12-5,2.0,249.0406806038848,303.1608612898647,155.05704245625765,12.21571040452795,2.3222307260157504,5.840414798415854,5.24946878325708,31.050377808717656,completed
3,500.0,50.0,ogive,53.65384615384615,,D12-5,4.0,249.0406806038848,303.1608612898647,149.26783198224058,12.214507725138892,1.9994076094946873,9.369400073737099,5.249408873611176,60.24976648362305,completed
3,500.0,50.0,ogive,53.65384615384615,,E12-6,0.0,265.3406806038848,313.5314081457506,303.306565512623,12.531751528201031,2.3622512919341814,0.8966843357329096,5.266775321250373,0.1963631527353353,completed
3,500.0,50.0,ogive,53.65384615384615,,E12-6,2.0,265.3406806038848,313.5314081457506,299.55357188945345,12.527999358550968,2.1745705933651642,5.06301969546023,5.266715310907366,64.66891818569395,completed
3,500.0,50.0,ogive,53.65384615384615,,E12-6,4.0,265.3406806038848,313.5314081457506,289.1652678927888,12.526710111182448,1.761876007660386,9.856416056809097,5.266655248516663,126.92481490834324,completed
3,500.0,50.0,ellipsoid,53.65384615384615,,D12-5,0.0,250.68165908632918,301.2370086342967,155.49186792971602,12.289498773498247,2.28692358738598,4.853856893011959,5.268393438560428,0.05621396789925453,completed
3,500.0,50.0,ellipsoid,53.65384615384615,,D12-5,2.0,250.68165908632918,301.2370086342967,153.4025443174682,12.28553957489848,2.3270706550347753,6.016467997496781,5.268333345816682,30.204056995079366,completed
3,500.0,50.0,ellipsoid,53.65384615384615,,D12-5,4.0,250.68165908632918,301.2370086342967,147.6231462607358,12.284304718448878,2.0099231564669817,9.532140843448765,5.2682732171706395,58.52252988375065,completed
3,500.0,50.0,ellipsoid,53.65384615384615,,E12-6,0.0,266.98165908632916,311.66127061837955,300.7611220015343,12.43999528002172,2.2712815035341647,1.1055348116149155,5.2855786294847915,0.19473496734087806,completed
3,500.0,50.0,ellipsoid,53.65384615384615,,E12-6,2.0,266.98165908632916,311.66127061837955,296.99056350082196,12.436299300530852,2.1813771282586103,5.14694627789368,5.285518379294825,63.163763394531586,completed
3,500.0,50.0,ellipsoid,53.65384615384615,,E12-6,4.0,266.98165908632916,311.66127061837955,286.5666187095963,12.435066506860256,1.7618568185984147,9.974883020594948,5.285458095888622,123.9436753510515,completed
