case,execution,evaluation,apogee_m,guide_departure_m_s,minimum_ascent_stability_cal,deployment_speed_m_s,landing_descent_m_s,landing_displacement_m,peak_powered_acceleration_g,peak_powered_specific_force_estimate_g,peak_powered_speed_m_s
empty-A8-3-wind0,completed,outside configured limits,7.688653494540828,6.84208495417975,1.7634733807760214,,11.247667727037735,0.3232319612055395,5.542146748549443,6.54113991277844,8.835482439587741
empty-A8-3-wind2,completed,outside configured limits,7.6554417146883305,6.834724745970673,0.7412528569920422,,10.625846032963134,0.5768977284641994,5.538714699930132,6.537707864162943,8.809429942501716
empty-B4-4-wind0,completed,outside configured limits,26.740331677734343,8.58962243258586,1.5810474773627434,14.3724572149061,4.7667151268594665,3.1228682549073916,7.416940458097692,8.415933657160034,17.905760934309093
empty-B4-4-wind2,completed,outside configured limits,25.99349238126657,8.581700258062488,0.7728057880822513,14.822256069981943,4.7649804214893745,5.335755999008881,7.414760910592051,8.413754109654851,17.680624041677564
empty-C6-3-wind0,completed,outside configured limits,92.7442074964357,9.303895175425858,1.6051749508377444,2.267230306898946,4.755977500983187,0.03978684747938286,8.073568924345102,9.072562072077224,36.07488216784535
empty-C6-3-wind2,completed,outside configured limits,89.20793733600682,9.296532525463194,1.0681971196889555,5.851160952121705,4.75592331849073,10.931077594842606,8.068396465498333,9.067389613237019,35.90076050274481
empty-C6-5-wind0,completed,outside configured limits,92.78217160212601,9.303895175425858,1.1001919284304196,12.340164751035099,4.755977563121893,1.4525484758594285,8.073568924345102,9.072562072077224,36.07488216784535
empty-C6-5-wind2,completed,outside configured limits,89.24361472202872,9.296532525463194,1.0681971196889555,17.88163504987274,4.755923302722106,6.244442764531326,8.068396465498333,9.067389613237019,35.90076050274481
empty-C5-3-wind0,completed,incomplete inputs,75.7727944134075,13.290078272617679,1.514876725356328,3.747417940535198,4.76396235070459,0.02172331557797938,12.188998799924088,13.187991793765576,27.857236170159393
empty-C5-3-wind2,completed,incomplete inputs,74.0954561266813,13.283005314591557,1.0252370654938718,4.911022112322577,4.763908044109378,14.360938536468929,12.17926915724068,13.178262151150443,27.679505424502192
dummy-A8-3-wind0,completed,outside configured limits,5.6094073346244855,5.894251576289396,2.244266408813892,,10.200409357614888,0.13825342214583472,4.75939233547614,5.758385512414904,7.089292859043443
dummy-A8-3-wind2,completed,outside configured limits,5.594999918386226,5.888116739879526,1.2254848329812218,,9.518975978094371,0.3475247821136655,4.7572594836658775,5.756252660605963,7.070140815784892
